2016-07-26,2016,07,26,NAS,	0.26255924,$201.06941
2016-08-05,2016,08,05,NAS,	0.22748815,$225.7595
2016-08-16,2016,08,16,NAS,	0.21943128,$203.46327
2016-08-27,2016,08,27,NAS,	0.21516588,$223.71317
2016-09-06,2016,09,06,NAS,	0.54579026,$186.76422
2016-09-17,2016,09,17,NAS,	0.62924665,$215.20917
2016-09-28,2016,09,28,NAS,	0.38453963,$185.1572
2016-11-30,2016,11,30,NAS,	0.25450107,$179.57266
2016-12-20,2016,12,20,NAS,	0.33018005,$188.80365
2016-12-31,2016,12,31,NAS,	0.45193774,$251.66092
2017-01-30,2017,01,30,NAS,	0.29935917,$191.33493
2017-02-20,2017,02,20,NAS,	0.29661277,$196.98741
2016-03-01,2016,03,01,NAS,	0.23601896,$194.68611
2016-03-12,2016,03,12,NAS,	0.24881516,$220.00127
2016-03-23,2016,03,23,NAS,	0.22417061,$195.37752
2016-04-02,2016,04,02,NAS,	0.292891,$226.11461
2016-04-13,2016,04,13,NAS,	0.28672987,$198.71628
2016-04-24,2016,04,24,NAS,	0.28246444,$207.8276
2016-05-03,2016,05,03,NAS,	0.28530806,$199.46153
2016-05-14,2016,05,14,NAS,	0.29905212,$226.86275
2016-05-25,2016,05,25,NAS,	0.28199053,$199.49242
2016-06-04,2016,06,04,NAS,	0.28104267,$232.26697
2016-06-15,2016,06,15,NAS,	0.2734597,$208.73254
2016-06-26,2016,06,26,NAS,	0.26398104,$210.77979
2016-07-05,2016,07,05,NAS,	0.24597156,$204.88373
2016-07-16,2016,07,16,NAS,	0.24028435,$228.65689
2016-07-27,2016,07,27,NAS,	0.30995262,$197.38393
2016-08-06,2016,08,06,NAS,	0.22654028,$226.45589
2016-08-17,2016,08,17,NAS,	0.21895735,$203.68446
2016-08-28,2016,08,28,NAS,	0.21658768,$205.52692
2016-09-07,2016,09,07,NAS,	0.4613491,$186.29662
2016-09-18,2016,09,18,NAS,	0.48325947,$203.47452
2016-09-29,2016,09,29,NAS,	0.4763663,$186.41467
2016-10-30,2016,10,30,NAS,	0.3527617,$200.24564
2016-11-20,2016,11,20,NAS,	0.283491,$193.26277
2016-12-10,2016,12,10,NAS,	0.34452242,$227.48604
2016-12-21,2016,12,21,NAS,	0.33079037,$190.70543
2017-01-20,2017,01,20,NAS,	0.30302104,$225.72986
2017-01-31,2017,01,31,NAS,	0.3005798,$190.95157
2017-02-10,2017,02,10,NAS,	0.29813853,$226.85088
2017-02-21,2017,02,21,NAS,	0.29661277,$192.83601
2016-03-02,2016,03,02,NAS,	0.23744076,$194.9192
2016-03-13,2016,03,13,NAS,	0.22985782,$204.54523
2016-03-24,2016,03,24,NAS,	0.22085308,$202.28224
2016-04-03,2016,04,03,NAS,	0.2834123,$207.19643
2016-04-14,2016,04,14,NAS,	0.2834123,$207.43254
2016-04-25,2016,04,25,NAS,	0.28530806,$199.94165
2016-05-04,2016,05,04,NAS,	0.2872038,$199.28723
2016-05-15,2016,05,15,NAS,	0.28151658,$210.77704
2016-05-26,2016,05,26,NAS,	0.28151658,$206.94789
2016-06-05,2016,06,05,NAS,	0.27962086,$218.66447
2016-06-16,2016,06,16,NAS,	0.27203792,$211.80403
2016-06-27,2016,06,27,NAS,	0.26113743,$204.8095
2016-07-06,2016,07,06,NAS,	0.24597156,$205.51288
2016-07-17,2016,07,17,NAS,	0.24170616,$210.52875
2016-07-28,2016,07,28,NAS,	0.31800947,$197.72272
2016-08-07,2016,08,07,NAS,	0.22369668,$207.54213
2016-08-18,2016,08,18,NAS,	0.21800947,$205.3806
2016-08-29,2016,08,29,NAS,	0.21658768,$203.67453
2016-09-08,2016,09,08,NAS,	0.51083213,$191.92099
2016-09-19,2016,09,19,NAS,	0.4239291,$192.14957
2016-10-20,2016,10,20,NAS,	0.50625575,$190.5649
2016-10-31,2016,10,31,NAS,	0.31583765,$187.57225
2016-11-10,2016,11,10,NAS,	0.42538908,$183.74243
2016-11-21,2016,11,21,NAS,	0.2764724,$185.00043
2016-12-11,2016,12,11,NAS,	0.33384192,$200.9661
2016-12-22,2016,12,22,NAS,	0.3396399,$206.77634
2017-01-10,2017,01,10,NAS,	0.30729327,$190.09074
2017-01-21,2017,01,21,NAS,	0.30210558,$226.95715
2017-02-11,2017,02,11,NAS,	0.29661277,$227.61649
2017-02-22,2017,02,22,NAS,	0.29722306,$192.51108
2016-03-03,2016,03,03,NAS,	0.23744076,$200.45059
2016-03-14,2016,03,14,NAS,	0.23033175,$195.75554
2016-03-25,2016,03,25,NAS,	0.22274882,$222.19633
2016-04-04,2016,04,04,NAS,	0.2890995,$199.67667
2016-04-15,2016,04,15,NAS,	0.28388625,$227.01654
2016-04-26,2016,04,26,NAS,	0.28483412,$198.95891
2016-05-05,2016,05,05,NAS,	0.28672987,$207.63322
2016-05-16,2016,05,16,NAS,	0.28530806,$201.1817
2016-05-27,2016,05,27,NAS,	0.2834123,$228.94048
2016-06-06,2016,06,06,NAS,	0.30094787,$216.1261
2016-06-17,2016,06,17,NAS,	0.27251184,$230.35179
2016-06-28,2016,06,28,NAS,	0.25687203,$204.0644
2016-07-07,2016,07,07,NAS,	0.2450237,$209.44507
2016-07-18,2016,07,18,NAS,	0.2421801,$206.45404
2016-07-29,2016,07,29,NAS,	0.31753555,$211.49097
2016-08-08,2016,08,08,NAS,	0.22369668,$205.38156
2016-08-19,2016,08,19,NAS,	0.21658768,$225.0859
2016-09-09,2016,09,09,NAS,	0.61915314,$212.09761
2016-10-10,2016,10,10,NAS,	0.41379312,$185.15825
2016-10-21,2016,10,21,NAS,	0.63045466,$197.66722
2016-11-11,2016,11,11,NAS,	0.5944461,$170.77051
2016-11-22,2016,11,22,NAS,	0.2856271,$185.3067
2016-12-01,2016,12,01,NAS,	0.25968874,$185.89778
2016-12-12,2016,12,12,NAS,	0.3234666,$186.97069
2016-12-23,2016,12,23,NAS,	0.3518462,$235.24341
2017-01-11,2017,01,11,NAS,	0.30790356,$189.95326
2017-01-22,2017,01,22,NAS,	0.2999695,$199.37881
2017-02-01,2017,02,01,NAS,	0.29966432,$191.22789
2017-02-12,2017,02,12,NAS,	0.29264572,$201.44046
2017-02-23,2017,02,23,NAS,	0.29722306,$198.70863
2016-03-04,2016,03,04,NAS,	0.23696682,$220.21863
2016-03-15,2016,03,15,NAS,	0.22985782,$195.20369
2016-03-26,2016,03,26,NAS,	0.22180095,$222.595
2016-04-05,2016,04,05,NAS,	0.2900474,$198.56609
2016-04-16,2016,04,16,NAS,	0.2843602,$227.43907
2016-04-27,2016,04,27,NAS,	0.2872038,$199.24002
2016-05-06,2016,05,06,NAS,	0.2872038,$228.34973
2016-05-17,2016,05,17,NAS,	0.2829384,$200.07072
2016-05-28,2016,05,28,NAS,	0.28199053,$229.66798
2016-06-07,2016,06,07,NAS,	0.31800947,$219.00835
2016-06-18,2016,06,18,NAS,	0.27156398,$230.7417
2016-06-29,2016,06,29,NAS,	0.25402844,$204.57306
2016-07-08,2016,07,08,NAS,	0.24549763,$228.71106
2016-07-19,2016,07,19,NAS,	0.24170616,$205.4375
2016-08-09,2016,08,09,NAS,	0.22274882,$203.90793
2016-10-11,2016,10,11,NAS,	0.3945682,$186.1497
2016-10-22,2016,10,22,NAS,	0.6396094,$199.26334
2016-11-01,2016,11,01,NAS,	0.30820873,$183.60918
2016-11-12,2016,11,12,NAS,	0.615502,$167.98572
2016-11-23,2016,11,23,NAS,	0.3289594,$198.05457
2016-12-02,2016,12,02,NAS,	0.26090938,$214.2593
2016-12-13,2016,12,13,NAS,	0.32377174,$186.30415
2016-12-24,2016,12,24,NAS,	0.3588648,$237.71252
2017-01-01,2017,01,01,NAS,	0.3588648,$228.05188
2017-01-12,2017,01,12,NAS,	0.30851388,$197.94617
2017-01-23,2017,01,23,NAS,	0.30088496,$190.99956
2017-02-02,2017,02,02,NAS,	0.29874885,$198.06483
2017-02-13,2017,02,13,NAS,	0.2947818,$192.35007
2017-02-24,2017,02,24,NAS,	0.29966432,$226.11241
2016-03-05,2016,03,05,NAS,	0.23696682,$220.89192
2016-03-16,2016,03,16,NAS,	0.23270142,$194.91971
2016-03-27,2016,03,27,NAS,	0.22369668,$203.10135
2016-04-06,2016,04,06,NAS,	0.2890995,$197.96933
2016-04-17,2016,04,17,NAS,	0.28199053,$207.49901
2016-04-28,2016,04,28,NAS,	0.2872038,$206.17021
2016-05-07,2016,05,07,NAS,	0.2872038,$229.47473
2016-05-18,2016,05,18,NAS,	0.2829384,$200.25314
2016-05-29,2016,05,29,NAS,	0.28199053,$211.16832
2016-06-08,2016,06,08,NAS,	0.37298578,$234.54195
2016-06-19,2016,06,19,NAS,	0.26824644,$212.22539
2016-07-09,2016,07,09,NAS,	0.24360189,$229.43672
2016-10-01,2016,10,01,NAS,	0.7473299,$195.07005
2016-10-12,2016,10,12,NAS,	0.42477876,$187.3793
2016-10-23,2016,10,23,NAS,	0.45956668,$195.50763
2016-11-02,2016,11,02,NAS,	0.32285628,$186.32402
2016-11-13,2016,11,13,NAS,	0.512664,$171.18785
2016-11-24,2016,11,24,NAS,	0.33811414,$205.69617
2016-12-03,2016,12,03,NAS,	0.25328043,$215.30731
2016-12-14,2016,12,14,NAS,	0.32499236,$186.66547
2016-12-25,2016,12,25,NAS,	0.3582545,$221.69092
2017-01-02,2017,01,02,NAS,	0.31949955,$200.67534
2017-01-13,2017,01,13,NAS,	0.30973452,$229.17772
2017-01-24,2017,01,24,NAS,	0.30180043,$190.87456
2017-02-03,2017,02,03,NAS,	0.29813853,$225.56348
2017-02-14,2017,02,14,NAS,	0.29569727,$192.64731
2017-02-25,2017,02,25,NAS,	0.2999695,$227.04533
2016-03-06,2016,03,06,NAS,	0.22938389,$202.66667
2016-03-17,2016,03,17,NAS,	0.23601896,$198.84863
2016-03-28,2016,03,28,NAS,	0.23080568,$196.0875
2016-04-07,2016,04,07,NAS,	0.28957346,$205.87259
2016-04-18,2016,04,18,NAS,	0.28578198,$200.40479
2016-04-29,2016,04,29,NAS,	0.29383886,$226.95638
2016-05-08,2016,05,08,NAS,	0.28483412,$209.96289
2016-05-19,2016,05,19,NAS,	0.2843602,$206.10463
2016-06-09,2016,06,09,NAS,	0.39478672,$225.79248
2016-10-02,2016,10,02,NAS,	0.5736955,$204.39156
2016-10-13,2016,10,13,NAS,	0.55111384,$188.98369
2016-10-24,2016,10,24,NAS,	0.35947514,$185.39066
2016-11-03,2016,11,03,NAS,	0.3860238,$191.8648
2016-11-14,2016,11,14,NAS,	0.32682332,$180.58885
2016-11-25,2016,11,25,NAS,	0.33811414,$225.0355
2016-12-04,2016,12,04,NAS,	0.23924321,$188.7116
2016-12-15,2016,12,15,NAS,	0.32560268,$196.81628
2016-12-26,2016,12,26,NAS,	0.35642356,$210.32669
2017-01-03,2017,01,03,NAS,	0.31095514,$190.24667
2017-01-14,2017,01,14,NAS,	0.31278607,$228.9636
2017-01-25,2017,01,25,NAS,	0.30302104,$189.93388
2017-02-04,2017,02,04,NAS,	0.29813853,$226.7887
2017-02-15,2017,02,15,NAS,	0.29752824,$192.13858
2017-02-26,2017,02,26,NAS,	0.29386634,$200.89369
2016-03-07,2016,03,07,NAS,	0.23649289,$196.51459
2016-03-18,2016,03,18,NAS,	0.23696682,$218.85466
2016-03-29,2016,03,29,NAS,	0.23080568,$194.94885
2016-04-08,2016,04,08,NAS,	0.2890995,$225.58667
2016-04-19,2016,04,19,NAS,	0.28483412,$199.03976
2016-05-09,2016,05,09,NAS,	0.28672987,$202.74684
2016-10-03,2016,10,03,NAS,	0.4244736,$188.30699
2016-10-14,2016,10,14,NAS,	0.72474825,$186.92793
2016-10-25,2016,10,25,NAS,	0.33628318,$183.33517
2016-11-04,2016,11,04,NAS,	0.4195911,$214.81335
2016-11-15,2016,11,15,NAS,	0.28867868,$182.003
2016-11-26,2016,11,26,NAS,	0.32285628,$226.04958
2016-12-05,2016,12,05,NAS,	0.3289594,$186.8995
