2016-07-26,2016,07,26,LAX,	0.48976782,$144.91702
2016-08-05,2016,08,05,LAX,	0.64872104,$149.06479
2016-08-16,2016,08,16,LAX,	0.5104414,$144.80872
2016-08-27,2016,08,27,LAX,	0.46632782,$154.06807
2016-09-06,2016,09,06,LAX,	0.37017292,$148.6908
2016-09-17,2016,09,17,LAX,	0.36086404,$152.48224
2016-09-28,2016,09,28,LAX,	0.32542402,$146.63396
2016-11-30,2016,11,30,LAX,	0.34025744,$146.84315
2016-12-20,2016,12,20,LAX,	0.3341252,$148.36298
2016-12-31,2016,12,31,LAX,	0.34426275,$156.64244
2017-01-30,2017,01,30,LAX,	0.38853768,$148.4349
2017-02-20,2017,02,20,LAX,	0.38636655,$148.26099
2016-03-01,2016,03,01,LAX,	0.27594593,$140.82355
2016-03-12,2016,03,12,LAX,	0.25070518,$147.97935
2016-03-23,2016,03,23,LAX,	0.2436047,$141.1576
2016-04-02,2016,04,02,LAX,	0.2877152,$149.61792
2016-04-13,2016,04,13,LAX,	0.26719192,$142.30595
2016-04-24,2016,04,24,LAX,	0.25775704,$142.84569
2016-05-03,2016,05,03,LAX,	0.5326639,$144.28679
2016-05-14,2016,05,14,LAX,	0.503903,$148.33693
2016-05-25,2016,05,25,LAX,	0.41030693,$144.49608
2016-06-04,2016,06,04,LAX,	0.39848426,$151.81265
2016-06-15,2016,06,15,LAX,	0.37908298,$147.68297
2016-06-26,2016,06,26,LAX,	0.36051536,$146.77904
2016-07-05,2016,07,05,LAX,	0.5684837,$148.83131
2016-07-16,2016,07,16,LAX,	0.54604477,$149.47084
2016-07-27,2016,07,27,LAX,	0.49174246,$144.81651
2016-08-06,2016,08,06,LAX,	0.6397437,$148.81844
2016-08-17,2016,08,17,LAX,	0.510911,$144.58386
2016-08-28,2016,08,28,LAX,	0.442296,$149.2203
2016-09-07,2016,09,07,LAX,	0.3685708,$148.26677
2016-09-18,2016,09,18,LAX,	0.35033977,$147.23802
2016-09-29,2016,09,29,LAX,	0.32705376,$146.37373
2016-10-30,2016,10,30,LAX,	0.28639302,$145.81644
2016-11-20,2016,11,20,LAX,	0.3523286,$147.05945
2016-12-10,2016,12,10,LAX,	0.33409756,$153.55437
2016-12-21,2016,12,21,LAX,	0.33528534,$148.31242
2017-01-20,2017,01,20,LAX,	0.3382503,$154.82529
2017-01-31,2017,01,31,LAX,	0.3882184,$148.57643
2017-02-10,2017,02,10,LAX,	0.38671777,$154.40317
2017-02-21,2017,02,21,LAX,	0.3862069,$148.17468
2016-03-02,2016,03,02,LAX,	0.2712285,$140.72379
2016-03-13,2016,03,13,LAX,	0.24783581,$141.12097
2016-03-24,2016,03,24,LAX,	0.24423695,$140.9332
2016-04-03,2016,04,03,LAX,	0.27526504,$142.44156
2016-04-14,2016,04,14,LAX,	0.26563564,$142.3353
2016-04-25,2016,04,25,LAX,	0.25824335,$142.47134
2016-05-04,2016,05,04,LAX,	0.5091701,$144.9685
2016-05-15,2016,05,15,LAX,	0.4585449,$143.3623
2016-05-26,2016,05,26,LAX,	0.4176582,$144.5594
2016-06-05,2016,06,05,LAX,	0.38082606,$146.46396
2016-06-16,2016,06,16,LAX,	0.3807124,$147.773
2016-06-27,2016,06,27,LAX,	0.35214096,$146.91718
2016-07-06,2016,07,06,LAX,	0.56037575,$148.26228
2016-07-17,2016,07,17,LAX,	0.52193034,$145.08286
2016-07-28,2016,07,28,LAX,	0.49832454,$144.41371
2016-08-07,2016,08,07,LAX,	0.5976742,$144.24057
2016-08-18,2016,08,18,LAX,	0.51823103,$145.23737
2016-08-29,2016,08,29,LAX,	0.42066738,$149.37663
2016-09-08,2016,09,08,LAX,	0.37379152,$147.82916
2016-09-19,2016,09,19,LAX,	0.3448152,$147.4918
2016-10-20,2016,10,20,LAX,	0.3003149,$145.4555
2016-10-31,2016,10,31,LAX,	0.31796587,$146.43651
2016-11-10,2016,11,10,LAX,	0.3508646,$146.74596
2016-11-21,2016,11,21,LAX,	0.35000828,$146.57231
2016-12-11,2016,12,11,LAX,	0.33335176,$146.93022
2016-12-22,2016,12,22,LAX,	0.33685985,$148.5548
2017-01-10,2017,01,10,LAX,	0.34112388,$148.76483
2017-01-21,2017,01,21,LAX,	0.3379949,$154.77664
2017-02-11,2017,02,11,LAX,	0.38659003,$154.41812
2017-02-22,2017,02,22,LAX,	0.3862069,$148.058
2016-03-03,2016,03,03,LAX,	0.27147165,$140.68051
2016-03-14,2016,03,14,LAX,	0.24759264,$141.1539
2016-03-25,2016,03,25,LAX,	0.24268067,$147.59619
2016-04-04,2016,04,04,LAX,	0.27263886,$142.33043
2016-04-15,2016,04,15,LAX,	0.26490614,$149.67006
2016-04-26,2016,04,26,LAX,	0.25858378,$142.46494
2016-05-05,2016,05,05,LAX,	0.51644564,$144.50427
2016-05-16,2016,05,16,LAX,	0.43759,$143.93236
2016-05-27,2016,05,27,LAX,	0.43452066,$150.80728
2016-06-06,2016,06,06,LAX,	0.3740432,$146.62758
2016-06-17,2016,06,17,LAX,	0.3762789,$152.92169
2016-06-28,2016,06,28,LAX,	0.35054946,$146.78558
2016-07-07,2016,07,07,LAX,	0.568753,$146.64368
2016-07-18,2016,07,18,LAX,	0.5154081,$144.8619
2016-07-29,2016,07,29,LAX,	0.50365007,$149.17891
2016-08-08,2016,08,08,LAX,	0.5766256,$143.71794
2016-08-19,2016,08,19,LAX,	0.5225402,$150.28967
2016-09-09,2016,09,09,LAX,	0.37613943,$153.31844
2016-10-10,2016,10,10,LAX,	0.3110878,$145.99559
2016-10-21,2016,10,21,LAX,	0.30037016,$151.14107
2016-11-11,2016,11,11,LAX,	0.3510027,$152.733
2016-11-22,2016,11,22,LAX,	0.35058835,$146.55585
2016-12-01,2016,12,01,LAX,	0.33882105,$146.99306
2016-12-12,2016,12,12,LAX,	0.3335175,$146.73537
2016-12-23,2016,12,23,LAX,	0.33951163,$155.07767
2017-01-11,2017,01,11,LAX,	0.3411558,$148.65137
2017-01-22,2017,01,22,LAX,	0.33748403,$148.6973
2017-02-01,2017,02,01,LAX,	0.38786718,$148.45978
2017-02-12,2017,02,12,LAX,	0.38649425,$148.57788
2017-02-23,2017,02,23,LAX,	0.3860792,$148.32796
2016-03-04,2016,03,04,LAX,	0.26869956,$147.53056
2016-03-15,2016,03,15,LAX,	0.24569595,$141.18375
2016-03-26,2016,03,26,LAX,	0.24029763,$147.77979
2016-04-05,2016,04,05,LAX,	0.2729793,$142.23433
2016-04-16,2016,04,16,LAX,	0.26476023,$149.72292
2016-04-27,2016,04,27,LAX,	0.25955647,$142.38089
2016-05-06,2016,05,06,LAX,	0.5275862,$151.81735
2016-05-17,2016,05,17,LAX,	0.43012506,$143.89455
2016-05-28,2016,05,28,LAX,	0.44172034,$150.58087
2016-06-07,2016,06,07,LAX,	0.3729822,$146.27733
2016-06-18,2016,06,18,LAX,	0.37192118,$152.91946
2016-06-29,2016,06,29,LAX,	0.35221675,$146.63785
2016-07-08,2016,07,08,LAX,	0.5763224,$152.1401
2016-07-19,2016,07,19,LAX,	0.51328385,$144.75043
2016-08-09,2016,08,09,LAX,	0.56778634,$143.94255
2016-10-11,2016,10,11,LAX,	0.3080769,$145.97952
2016-10-22,2016,10,22,LAX,	0.29965195,$151.25432
2016-11-01,2016,11,01,LAX,	0.36000773,$146.78705
2016-11-12,2016,11,12,LAX,	0.3501188,$152.68164
2016-11-23,2016,11,23,LAX,	0.35373735,$147.28441
2016-12-02,2016,12,02,LAX,	0.33774376,$153.81155
2016-12-13,2016,12,13,LAX,	0.33332413,$146.76006
2016-12-24,2016,12,24,LAX,	0.34169382,$155.49472
2017-01-01,2017,01,01,LAX,	0.35109356,$152.18901
2017-01-12,2017,01,12,LAX,	0.34150702,$148.6699
2017-01-23,2017,01,23,LAX,	0.33738825,$148.56816
2017-02-02,2017,02,02,LAX,	0.3873244,$148.59648
2017-02-13,2017,02,13,LAX,	0.38668582,$148.4666
2017-02-24,2017,02,24,LAX,	0.3857599,$154.16072
2016-03-05,2016,03,05,LAX,	0.2667542,$147.79591
2016-03-16,2016,03,16,LAX,	0.24598774,$141.26445
2016-03-27,2016,03,27,LAX,	0.23626107,$141.63525
2016-04-06,2016,04,06,LAX,	0.27302793,$142.38902
2016-04-17,2016,04,17,LAX,	0.2629608,$142.69653
2016-04-28,2016,04,28,LAX,	0.25979963,$142.23048
2016-05-07,2016,05,07,LAX,	0.52068967,$151.06079
2016-05-18,2016,05,18,LAX,	0.43611217,$144.12143
2016-05-29,2016,05,29,LAX,	0.42732096,$144.94177
2016-06-08,2016,06,08,LAX,	0.37718832,$146.04047
2016-06-19,2016,06,19,LAX,	0.3602122,$147.42543
2016-07-09,2016,07,09,LAX,	0.57285184,$151.95728
2016-10-01,2016,10,01,LAX,	0.3324402,$151.42061
2016-10-12,2016,10,12,LAX,	0.30780068,$145.914
2016-10-23,2016,10,23,LAX,	0.2948732,$145.53908
2016-11-02,2016,11,02,LAX,	0.35895807,$146.70677
2016-11-13,2016,11,13,LAX,	0.3482128,$146.67842
2016-11-24,2016,11,24,LAX,	0.35495275,$147.78246
2016-12-03,2016,12,03,LAX,	0.33743992,$153.84183
2016-12-14,2016,12,14,LAX,	0.3331584,$146.82288
2016-12-25,2016,12,25,LAX,	0.34221867,$149.60643
2017-01-02,2017,01,02,LAX,	0.35121328,$151.00615
2017-01-13,2017,01,13,LAX,	0.34051725,$154.63524
2017-01-24,2017,01,24,LAX,	0.3371009,$148.60495
2017-02-03,2017,02,03,LAX,	0.38697317,$154.50494
2017-02-14,2017,02,14,LAX,	0.38694125,$148.34784
2017-02-25,2017,02,25,LAX,	0.38550448,$154.2324
2016-03-06,2016,03,06,LAX,	0.25775704,$141.56847
2016-03-17,2016,03,17,LAX,	0.24764128,$140.86935
2016-03-28,2016,03,28,LAX,	0.2354343,$141.05743
2016-04-07,2016,04,07,LAX,	0.27137437,$142.49739
2016-04-18,2016,04,18,LAX,	0.2631067,$142.46819
2016-04-29,2016,04,29,LAX,	0.25838926,$149.55505
2016-05-08,2016,05,08,LAX,	0.4779083,$144.25954
2016-05-19,2016,05,19,LAX,	0.44289503,$143.89906
2016-06-09,2016,06,09,LAX,	0.38946572,$145.88127
2016-10-02,2016,10,02,LAX,	0.32252362,$145.65077
2016-10-13,2016,10,13,LAX,	0.30973426,$145.5121
2016-10-24,2016,10,24,LAX,	0.2918347,$145.24153
2016-11-03,2016,11,03,LAX,	0.3611955,$146.20811
2016-11-14,2016,11,14,LAX,	0.34912437,$146.42036
2016-11-25,2016,11,25,LAX,	0.35285345,$153.24936
2016-12-04,2016,12,04,LAX,	0.33600354,$146.95824
2016-12-15,2016,12,15,LAX,	0.33288217,$147.19324
2016-12-26,2016,12,26,LAX,	0.34271586,$148.57974
2017-01-03,2017,01,03,LAX,	0.34760538,$150.22733
2017-01-14,2017,01,14,LAX,	0.34010217,$154.7502
2017-01-25,2017,01,25,LAX,	0.3369732,$148.61557
2017-02-04,2017,02,04,LAX,	0.38716474,$154.46062
2017-02-15,2017,02,15,LAX,	0.3866539,$148.36377
2017-02-26,2017,02,26,LAX,	0.38537675,$148.35542
2016-03-07,2016,03,07,LAX,	0.25590897,$141.41542
2016-03-18,2016,03,18,LAX,	0.24569595,$147.64107
2016-03-29,2016,03,29,LAX,	0.23635833,$140.95822
2016-04-08,2016,04,08,LAX,	0.27020717,$149.62656
2016-04-19,2016,04,19,LAX,	0.2633985,$142.4417
2016-05-09,2016,05,09,LAX,	0.4607806,$144.45369
2016-10-03,2016,10,03,LAX,	0.32139108,$145.65437
2016-10-14,2016,10,14,LAX,	0.30827028,$151.38579
2016-10-25,2016,10,25,LAX,	0.28987348,$145.16454
2016-11-04,2016,11,04,LAX,	0.36100215,$151.94968
2016-11-15,2016,11,15,LAX,	0.35155517,$146.26701
2016-11-26,2016,11,26,LAX,	0.3490415,$153.78278
2016-12-05,2016,12,05,LAX,	0.3359483,$146.67517
2016-12-16,2016,12,16,LAX,	0.33260593,$154.09392
2016-12-27,2016,12,27,LAX,	0.34097564,$148.50998
